CustomerID,recency,frequency,monetary,r_score,f_score,m_score,fm_score,rfm_segment
12538,30,1,324.15000000000003,4,3,2,3,Potential Loyalists
12539,23,0.36363636363636365,4285.9,4,1,5,3,Potential Loyalists
12540,20,1.4166666666666667,9314.04,4,5,5,5,Champions
12541,30,0.33333333333333331,816.17999999999984,4,1,3,2,Potential Loyalists
12544,37,1,316.7,3,3,2,3,Potential Loyalists
12545,76,0.2857142857142857,745.83999999999992,2,1,3,2,Customers Needing Attention
12546,47,1,997.60000000000014,3,3,4,4,Loyal Customers
12547,198,0.66666666666666663,151.8,1,2,1,2,Hibernating
12548,167,1,67.199999999999989,2,3,1,2,Customers Needing Attention
12550,80,1,814.87999999999931,2,3,3,3,Customers Needing Attention
12551,358,1,168,1,3,1,2,Hibernating
12552,40,1,214.96999999999997,3,3,1,2,Customers Needing Attention
12553,9,0.83333333333333337,3159.1800000000003,5,3,5,4,Champions
12556,51,0.5,557.55999999999983,3,1,3,2,Customers Needing Attention
12557,17,0.41666666666666669,11990.96,4,1,5,3,Potential Loyalists
12558,8,1,269.96000000000004,5,3,2,3,Loyal Customers
12559,311,1,483.21,1,3,3,3,At Risk
12560,6,0.33333333333333331,1867.06,5,1,5,3,Loyal Customers
12561,303,1,238.85,1,3,2,3,At Risk
12562,9,0.875,3097.1400000000003,5,3,5,4,Champions
12564,262,1,352.05000000000007,1,3,2,3,At Risk
12565,289,1,145.92,1,3,1,2,Hibernating
12566,87,1,240.85,2,3,2,3,Customers Needing Attention
12567,23,0.83333333333333337,7468.88,4,3,5,4,Loyal Customers
12569,3,3.1111111111111112,2777.2900000000004,5,5,5,5,Champions
12571,40,0.66666666666666663,519.61,3,2,3,3,Potential Loyalists
12572,9,0.66666666666666663,752.37000000000012,5,2,3,3,Loyal Customers
12573,228,1,150.59,1,3,1,2,Hibernating
12574,316,1,162.54999999999998,1,3,1,2,Hibernating
12576,36,0.5,1244.03,3,1,4,3,Potential Loyalists
12577,36,0.25,595.40000000000009,3,1,3,2,Customers Needing Attention
12578,22,0.18181818181818182,2329.9600000000005,4,1,5,3,Potential Loyalists
12579,79,1,360.91999999999996,2,3,2,3,Customers Needing Attention
12580,247,1,379.7,1,3,2,3,At Risk
12581,40,1,169.76,3,3,1,2,Customers Needing Attention
12582,239,0.66666666666666663,351.36,1,2,2,2,Hibernating
12583,3,1.1538461538461537,6424.1300000000019,5,5,5,5,Champions
12584,4,0.8,1567.1,5,3,4,4,Champions
12585,235,0.4,1551.15,1,1,4,3,At Risk
12586,18,1,186.54,4,3,1,2,Potential Loyalists
12587,8,1,104,5,3,1,2,Potential Loyalists
12588,40,1,79.65,3,3,1,2,Customers Needing Attention
12589,29,0.4,417.28,4,1,2,2,Potential Loyalists
12590,212,1,9341.2600000000039,1,3,5,4,Cant Lose Them
12591,318,1,338.99999999999989,1,3,2,3,At Risk
12592,93,0.4,401.6,2,1,2,2,Customers Needing Attention
12593,109,0.75,382.10000000000008,2,2,2,2,Customers Needing Attention
12594,38,0.81818181818181823,3181.3700000000003,3,3,5,4,Loyal Customers
12596,52,0.2857142857142857,413.37,3,1,2,2,Customers Needing Attention
12597,20,0.44444444444444442,2789.0700000000006,4,1,5,3,Potential Loyalists
12598,10,0.7,2700.63,5,2,5,4,Champions
12599,30,0.7,888.58,4,2,4,3,Potential Loyalists
12600,29,0.83333333333333337,2311.04,4,3,5,4,Loyal Customers
12601,190,0.83333333333333337,447.11,1,3,3,3,At Risk
12602,59,1,129.22000000000003,3,3,1,2,Customers Needing Attention
12604,80,0.2857142857142857,236.18,2,1,2,2,Customers Needing Attention
12607,61,1,1562.56,3,3,4,4,Loyal Customers
12609,79,0.33333333333333331,964.85000000000014,2,1,4,3,Customers Needing Attention
12610,23,1,1527.3400000000004,4,3,4,4,Loyal Customers
12611,53,1,1084.4200000000003,3,3,4,4,Loyal Customers
12612,75,1,668.04000000000008,2,3,3,3,Customers Needing Attention
12613,58,0.5,2997.58,3,1,5,3,Potential Loyalists
12614,278,1,265.85,1,3,2,3,At Risk
12615,3,0.5714285714285714,2067.69,5,2,5,4,Champions
12616,96,0.25,561.7,2,1,3,2,Customers Needing Attention
12617,30,1,335.63000000000017,4,3,2,3,Potential Loyalists
12618,22,1,137.31,4,3,1,2,Potential Loyalists
12619,17,0.88888888888888884,2749.6599999999994,4,3,5,4,Loyal Customers
12620,15,0.42857142857142855,1253.6599999999999,4,1,4,3,Potential Loyalists
12621,2,1.5384615384615385,11222.32,5,5,5,5,Champions
12622,233,1,123.85,1,3,1,2,Hibernating
12623,277,1,269.1,1,3,2,3,At Risk
12624,107,0.66666666666666663,556.38,2,2,3,3,Customers Needing Attention
12625,212,0.4,2067.42,1,1,5,3,At Risk
12626,24,0.81818181818181823,5319.9299999999985,4,3,5,4,Loyal Customers
12627,11,1.2,3994.4799999999996,5,5,5,5,Champions
12628,5,1,715.46,5,3,3,3,Loyal Customers
12630,10,1,921.58000000000015,5,3,4,4,Champions
12631,58,1,412.50000000000011,3,3,2,3,Potential Loyalists
12633,59,0.44444444444444442,1893.0800000000002,3,1,5,3,Potential Loyalists
12635,90,0.66666666666666663,1441.4299999999994,2,2,4,3,Customers Needing Attention
12637,68,0.8,5494.0999999999985,3,3,5,4,Loyal Customers
12638,34,1,511.69,3,3,3,3,Potential Loyalists
12639,239,1,341.2,1,3,2,3,At Risk
12640,24,1,707.93000000000006,4,3,3,3,Potential Loyalists
12641,116,1,128.9,2,3,1,2,Customers Needing Attention
12642,26,0.75,851.41000000000008,4,2,4,3,Potential Loyalists
12643,129,0.75,3043.6400000000003,2,2,5,4,At Risk
12644,130,1,431.16000000000008,2,3,3,3,Customers Needing Attention
12645,34,0.36363636363636365,1631.1799999999998,3,1,4,3,Potential Loyalists
12646,5,0.66666666666666663,1268.9199999999998,5,2,4,3,Loyal Customers
12647,23,1,2716.0699999999997,4,3,5,4,Loyal Customers
12648,155,1,255.3,2,3,2,3,Customers Needing Attention
12649,108,0.75,569.51,2,2,3,3,Customers Needing Attention
12650,4,1,242.44,5,3,2,3,Loyal Customers
12651,335,1,114.00000000000003,1,3,1,2,Hibernating
12652,332,1,764.07999999999981,1,3,3,3,At Risk
12653,149,0.33333333333333331,1684.25,2,1,4,3,Customers Needing Attention
12654,11,0.5,499.33000000000004,5,1,3,2,Potential Loyalists
12656,18,0.625,3249.37,4,2,5,4,Loyal Customers
12657,12,1,984.98000000000013,5,3,4,4,Champions
12658,19,1,551.3,4,3,3,3,Potential Loyalists
12659,30,1,73.68,4,3,1,2,Potential Loyalists
12660,12,1,227.10000000000002,5,3,2,3,Loyal Customers
12662,1,0.84615384615384615,3476.9300000000003,5,3,5,4,Champions
12664,9,0.75,4391.88,5,2,5,4,Champions
12665,325,1,45,1,3,1,2,Hibernating
12667,59,1,426.13000000000005,3,3,2,3,Potential Loyalists
12668,12,0.33333333333333331,3011.4,5,1,5,3,Loyal Customers
12669,151,0.4,1342.7800000000002,2,1,4,3,Customers Needing Attention
12670,11,0.625,2690.35,5,2,5,4,Champions
12672,330,1,225.9,1,3,2,3,At Risk
12673,6,0.16666666666666666,574.52,5,1,3,2,Potential Loyalists
12674,39,0.5714285714285714,1575.5,3,2,4,3,Potential Loyalists
12676,25,0.6,1091.39,4,2,4,3,Potential Loyalists
12678,43,0.81818181818181823,16203.360000000002,3,3,5,4,Loyal Customers
12679,59,0.5,868.82000000000016,3,1,4,3,Potential Loyalists
12680,1,0.8,751.00999999999988,5,3,3,3,Loyal Customers
12681,15,1.8333333333333333,11649.039999999999,4,5,5,5,Champions
12682,4,2.3846153846153846,10674.619999999999,5,5,5,5,Champions
12683,5,1.0769230769230769,6659.07,5,5,5,5,Champions
12684,8,0.75,2056.6299999999997,5,2,5,4,Champions
12685,29,2,2514.9300000000003,4,5,5,5,Champions
12686,372,1,71.14,1,3,1,2,Hibernating
12688,114,1,4147.5600000000013,2,3,5,4,At Risk
12689,26,0.5,1020.2100000000003,4,1,4,3,Potential Loyalists
12690,206,1,265.10999999999996,1,3,2,3,At Risk
12691,29,0.41666666666666669,927.8,4,1,4,3,Potential Loyalists
12693,128,0.5,584.21,2,1,3,2,Customers Needing Attention
12694,71,0.5,494.4199999999999,3,1,3,2,Customers Needing Attention
12695,8,0.5,565.1,5,1,3,2,Potential Loyalists
12697,29,0.5,757.59,4,1,3,2,Potential Loyalists
12700,8,0.5,4304.9399999999987,5,1,5,3,Loyal Customers
12701,80,0.33333333333333331,691.81000000000017,2,1,3,2,Customers Needing Attention
12702,20,1,201,4,3,1,2,Potential Loyalists
12703,72,1,265.54999999999995,3,3,2,3,Potential Loyalists
12704,8,1.1428571428571428,1586.64,5,5,4,5,Champions
12705,16,0.66666666666666663,5981.74,4,2,5,4,Loyal Customers
12707,292,1,433.42000000000007,1,3,3,3,At Risk
12708,30,0.83333333333333337,2150.96,4,3,5,4,Loyal Customers
12709,16,1.25,6972.869999999999,4,5,5,5,Champions
12710,97,0.6,966.22,2,2,4,3,Customers Needing Attention
12712,29,1.0833333333333333,3368.0300000000007,4,5,5,5,Champions
12713,1,1,722.85,5,3,3,3,Loyal Customers
12714,10,0.5,4089.1099999999997,5,1,5,3,Loyal Customers
12715,107,1,273.86,2,3,2,3,Customers Needing Attention
12716,4,0.33333333333333331,926.58999999999969,5,1,4,3,Loyal Customers
12717,152,0.5,774.03,2,1,3,2,Customers Needing Attention
12718,72,1,182.35000000000002,3,3,1,2,Customers Needing Attention
12719,6,0.66666666666666663,498.54999999999995,5,2,3,3,Loyal Customers
12720,3,1.9230769230769231,4808.93,5,5,5,5,Champions
12721,32,0.5,2194.83,4,1,5,3,Potential Loyalists
12722,86,1,856.59999999999991,2,3,4,4,At Risk
12723,4,1.3333333333333333,594.37,5,5,3,4,Champions
12724,6,0.33333333333333331,923.4100000000002,5,1,4,3,Loyal Customers
12725,372,1,371.79999999999995,1,3,2,3,At Risk
12726,29,0.58333333333333337,2411.1000000000004,4,2,5,4,Loyal Customers
12727,11,0.63636363636363635,3237.8,5,2,5,4,Champions
12728,72,0.44444444444444442,653.23,3,1,3,2,Customers Needing Attention
12729,114,1,377.21000000000015,2,3,2,3,Customers Needing Attention
12731,24,1,15591.710000000001,4,3,5,4,Loyal Customers
12732,180,1,218.2600000000001,1,3,2,3,At Risk
12733,235,1,307.45,1,3,2,3,At Risk
12734,353,1,110.39999999999999,1,3,1,2,Hibernating
12735,316,2,390.97,1,5,2,4,Cant Lose Them
12736,333,1,144,1,3,1,2,Hibernating
12738,373,1,110.4,1,3,1,2,Hibernating
12739,100,1,553.43999999999994,2,3,3,3,Customers Needing Attention
12740,64,1,410.59999999999991,3,3,2,3,Potential Loyalists
12743,135,2,441.12999999999988,2,5,3,4,At Risk
12744,57,0.4,8220.2899999999991,3,1,5,3,Potential Loyalists
12747,3,0.84615384615384615,3827.21,5,3,5,4,Champions
12748,1,15.692307692307692,29589.390000000007,5,5,5,5,Champions
12749,4,0.625,2949.88,5,2,5,4,Champions
12750,129,1,217.98,2,3,1,2,Customers Needing Attention
12752,82,1,3958.7799999999984,2,3,5,4,At Risk
12753,23,0.5,20408.489999999998,4,1,5,3,Potential Loyalists
12754,236,1,3010.7400000000002,1,3,5,4,Cant Lose Them
12755,281,0.5,3801.9999999999995,1,1,5,3,At Risk
12756,87,1,112.08000000000001,2,3,1,2,Customers Needing Attention
12757,16,1.1428571428571428,3982.1999999999989,4,5,5,5,Champions
12758,117,0.33333333333333331,2791.59,2,1,5,3,Customers Needing Attention
12759,53,0.375,1318.3899999999999,3,1,4,3,Potential Loyalists
12762,8,1,1702.5200000000007,5,3,4,4,Champions
12763,139,0.25,494.08,2,1,3,2,Customers Needing Attention
12764,317,1,984.68000000000006,1,3,4,4,Cant Lose Them
12766,4,0.53846153846153844,6368.08,5,2,5,4,Champions
12769,239,1,968.4000000000002,1,3,4,4,Cant Lose Them
12770,211,1,1181.4,1,3,4,4,Cant Lose Them
12772,60,1,615.32,3,3,3,3,Potential Loyalists
12775,18,0.5,1214.3400000000001,4,1,4,3,Potential Loyalists
12778,20,0.54545454545454541,665.53,4,2,3,3,Potential Loyalists
12779,38,0.66666666666666663,3216.71,3,2,5,4,Loyal Customers
12781,64,0.22222222222222221,786.74,3,1,3,2,Customers Needing Attention
12782,5,0.38461538461538464,1889.17,5,1,5,3,Loyal Customers
12783,3,1,1173.1200000000001,5,3,4,4,Champions
12784,16,1,497.06999999999994,4,3,3,3,Potential Loyalists
12785,365,1,239,1,3,2,3,At Risk
12787,10,0.42857142857142855,418.65999999999997,5,1,2,2,Potential Loyalists
12790,193,1,215.32,1,3,1,2,Hibernating
12791,374,1,177.60000000000002,1,3,1,2,Hibernating
12792,257,1,329.59000000000003,1,3,2,3,At Risk
12793,335,1,461.48,1,3,3,3,At Risk
12794,54,1,840.51,3,3,3,3,Potential Loyalists
12795,19,1,192.33,4,3,1,2,Potential Loyalists
12797,366,1,206.13000000000002,1,3,1,2,Hibernating
12798,11,0.5,6977.0399999999991,5,1,5,3,Loyal Customers
12802,187,1,397.58,1,3,2,3,At Risk
12808,37,0.25,445.70000000000005,3,1,3,2,Customers Needing Attention
12809,178,1,359.91000000000008,2,3,2,3,Customers Needing Attention
12811,262,1,439.95000000000005,1,3,3,3,At Risk
12812,45,1,229.63999999999993,3,3,2,3,Potential Loyalists
12814,102,1,85.92,2,3,1,2,Customers Needing Attention
12815,148,0.66666666666666663,761.45999999999981,2,2,3,3,Customers Needing Attention
12816,96,0.5,361.30000000000007,2,1,2,2,Customers Needing Attention
12817,282,1,126.03999999999999,1,3,1,2,Hibernating
12818,262,1,1062.48,1,3,4,4,Cant Lose Them
12820,4,0.33333333333333331,942.34000000000015,5,1,4,3,Loyal Customers
12821,215,1,75.72,1,3,1,2,Hibernating
12822,71,2,901.97999999999979,3,5,4,5,Loyal Customers
12823,75,0.625,1759.5,2,2,4,3,Customers Needing Attention
12824,60,1,397.11999999999995,3,3,2,3,Potential Loyalists
12826,3,0.53846153846153844,1474.72,5,2,4,3,Loyal Customers
12827,6,1,430.15,5,3,3,3,Loyal Customers
12828,3,1.2,961.95999999999992,5,5,4,5,Champions
12829,337,1,132.3,1,3,1,2,Hibernating
12830,38,1,6814.6399999999994,3,3,5,4,Loyal Customers
12831,263,1,189.55,1,3,1,2,Hibernating
12832,33,0.66666666666666663,383.03,4,2,2,2,Potential Loyalists
12833,146,1,322.93,2,3,2,3,Customers Needing Attention
12834,283,1,312.38,1,3,2,3,At Risk
12836,60,0.44444444444444442,1964.86,3,1,5,3,Potential Loyalists
12837,174,1,74.65000000000002,2,3,1,2,Customers Needing Attention
12838,34,0.16666666666666666,602.68000000000006,3,1,3,2,Customers Needing Attention
12839,3,1.0769230769230769,5508.2199999999993,5,5,5,5,Champions
12840,144,1,2726.77,2,3,5,4,At Risk
12841,5,1.9230769230769231,3741.1499999999992,5,5,5,5,Champions
12842,71,0.25,962.79,3,1,4,3,Potential Loyalists
12843,160,1.4,1513.56,2,5,4,5,At Risk
12844,30,0.5,325.96000000000004,4,1,2,2,Potential Loyalists
12845,268,2,337.09,1,5,2,4,Cant Lose Them
12847,23,1,871.53999999999985,4,3,4,4,Loyal Customers
12849,32,0.22222222222222221,950.1400000000001,4,1,4,3,Potential Loyalists
12851,97,1,108.27999999999997,2,3,1,2,Customers Needing Attention
12852,295,1,264.14999999999992,1,3,2,3,At Risk
12853,135,0.8571428571428571,1631.2000000000003,2,3,4,4,At Risk
12854,79,0.33333333333333331,1249.35,2,1,4,3,Customers Needing Attention
12855,373,1,38.1,1,3,1,2,Hibernating
12856,8,2,2009.98,5,5,5,5,Champions
12857,211,0.5,831.15000000000009,1,1,3,2,Hibernating
12863,53,1,181.2,3,3,1,2,Customers Needing Attention
12864,139,1,147.12,2,3,1,2,Customers Needing Attention
12865,27,0.5,1391.8799999999997,4,1,4,3,Potential Loyalists
12866,284,1,376.72,1,3,2,3,At Risk
12867,27,0.58333333333333337,4036.8199999999997,4,2,5,4,Loyal Customers
12868,186,0.8571428571428571,1534.71,1,3,4,4,Cant Lose Them
12871,85,0.4,380.64,2,1,2,2,Customers Needing Attention
12872,327,1,544.62,1,3,3,3,At Risk
12873,283,1,306,1,3,2,3,At Risk
12875,144,0.25,343.23000000000008,2,1,2,2,Customers Needing Attention
12876,58,0.33333333333333331,1863.42,3,1,5,3,Potential Loyalists
12877,4,0.92307692307692313,1436.4699999999998,5,3,4,4,Champions
12878,237,1,854.99,1,3,4,4,Cant Lose Them
12879,45,1.5,573.22,3,5,3,4,Loyal Customers
12881,276,1,69,1,3,1,2,Hibernating
12882,10,2,1463.04,5,5,4,5,Champions
12883,25,1.3333333333333333,593.87000000000012,4,5,3,4,Loyal Customers
12884,89,1,139.05,2,3,1,2,Customers Needing Attention
12885,64,1,993.11999999999978,3,3,4,4,Loyal Customers
12886,68,0.33333333333333331,1200.3,3,1,4,3,Potential Loyalists
12888,215,0.66666666666666663,187.92000000000002,1,2,1,2,Hibernating
12890,25,1,380.46999999999997,4,3,2,3,Potential Loyalists
12891,186,0.6,331,1,2,2,2,Hibernating
12893,31,1,188.14,4,3,1,2,Potential Loyalists
12895,43,1,335.04999999999995,3,3,2,3,Potential Loyalists
12897,205,0.5,216.5,1,1,1,1,Lost
12901,9,2.8,17501.539999999997,5,5,5,5,Champions
12902,265,1,87.78,1,3,1,2,Hibernating
12904,19,0.33333333333333331,382.4799999999999,4,1,2,2,Potential Loyalists
12906,12,1.6666666666666667,2887.16,5,5,5,5,Champions
12908,177,0.33333333333333331,750,2,1,3,2,Customers Needing Attention
12909,40,0.625,1430.27,3,2,4,3,Potential Loyalists
12910,24,1,3075.0400000000004,4,3,5,4,Loyal Customers
12912,3,1.6666666666666667,1662.3,5,5,4,5,Champions
12913,5,0.38461538461538464,2453.6299999999997,5,1,5,3,Loyal Customers
12915,149,0.25,216.95,2,1,1,1,About to Sleep
12916,139,0.5714285714285714,2463.2,2,2,5,4,At Risk
12917,129,1,594,2,3,3,3,Customers Needing Attention
